Date,Value ($/dozen),President
2025-05-01,5.122,
2025-04-01,6.227,
2025-03-01,5.897,
2025-02-01,4.953,
2025-01-01,4.146,
2024-12-01,3.649,
2024-11-01,3.37,
2024-10-01,3.821,
2024-09-01,3.204,
2024-08-01,3.08,
2024-07-01,2.715,
2024-06-01,2.699,
2024-05-01,2.864,
2024-04-01,2.992,
2024-03-01,2.996,
2024-02-01,2.522,
2024-01-01,2.507,
2023-12-01,2.138,
2023-11-01,2.072,
2023-10-01,2.065,
2023-09-01,2.043,
2023-08-01,2.094,
2023-07-01,2.219,
2023-06-01,2.666,
2023-05-01,3.27,
2023-04-01,3.446,
2023-03-01,4.211,
2023-02-01,4.823,
2023-01-01,4.25,
2022-12-01,3.589,
2022-11-01,3.419,
2022-10-01,2.902,
2022-09-01,3.116,
2022-08-01,2.936,
2022-07-01,2.707,
2022-06-01,2.863,
2022-05-01,2.52,
2022-04-01,2.046,
2022-03-01,2.005,
2022-02-01,1.929,
2022-01-01,1.788,
2021-12-01,1.718,
2021-11-01,1.821,
2021-10-01,1.835,
2021-09-01,1.709,
2021-08-01,1.642,
2021-07-01,1.642,
2021-06-01,1.625,
2021-05-01,1.62,
2021-04-01,1.625,
2021-03-01,1.597,
2021-02-01,1.466,
2021-01-01,1.481,
2020-12-01,1.45,
2020-11-01,1.408,
2020-10-01,1.353,
2020-09-01,1.328,
2020-08-01,1.401,
2020-07-01,1.554,
2020-06-01,1.64,
2020-05-01,2.019,
2020-04-01,1.525,
2020-03-01,1.449,
2020-02-01,1.461,
2020-01-01,1.535,
2019-12-01,1.405,
2019-11-01,1.282,
2019-10-01,1.383,
2019-09-01,1.219,
2019-08-01,1.243,
2019-07-01,1.203,
2019-06-01,1.362,
2019-05-01,1.463,
2019-04-01,1.544,
2019-03-01,1.557,
2019-02-01,1.554,
2019-01-01,1.595,
2018-12-01,1.596,
2018-11-01,1.66,
2018-10-01,1.651,
2018-09-01,1.622,
2018-08-01,1.725,
2018-07-01,1.628,
2018-06-01,1.987,
2018-05-01,2.081,
2018-04-01,1.831,
2018-03-01,1.755,
2018-02-01,1.769,
2018-01-01,1.815,
2017-12-01,1.506,
2017-11-01,1.54,
2017-10-01,1.422,
2017-09-01,1.367,
2017-08-01,1.333,
2017-07-01,1.332,
2017-06-01,1.414,
2017-05-01,1.409,
2017-04-01,1.404,
2017-03-01,1.464,
2017-02-01,1.599,
2017-01-01,1.383,
2016-12-01,1.321,
2016-11-01,1.39,
2016-10-01,1.471,
2016-09-01,1.455,
2016-08-01,1.546,
2016-07-01,1.491,
2016-06-01,1.684,
2016-05-01,1.793,
2016-04-01,2.081,
2016-03-01,2.267,
2016-02-01,2.328,
2016-01-01,2.751,
2015-12-01,2.664,
2015-11-01,2.808,
2015-10-01,2.966,
2015-09-01,2.943,
2015-08-01,2.57,
2015-07-01,2.57,
2015-06-01,1.962,
2015-05-01,2.065,
2015-04-01,2.133,
2015-03-01,2.088,
2015-02-01,2.113,
2015-01-01,2.21,
2014-12-01,2.032,
2014-11-01,1.951,
2014-10-01,1.97,
2014-09-01,1.979,
2014-08-01,1.95,
2014-07-01,1.948,
2014-06-01,1.996,
2014-05-01,2.119,
2014-04-01,2.061,
2014-03-01,1.998,
2014-02-01,2.008,
2014-01-01,2.026,
2013-12-01,1.925,
2013-11-01,1.925,
2013-10-01,1.897,
2013-09-01,1.838,
2013-08-01,1.833,
2013-07-01,1.859,
2013-06-01,1.87,
2013-05-01,1.918,
2013-04-01,1.925,
2013-03-01,1.965,
2013-02-01,1.933,
2013-01-01,2.007,
2012-12-01,1.963,
2012-11-01,1.96,
2012-10-01,1.889,
2012-09-01,1.884,
2012-08-01,1.648,
2012-07-01,1.67,
2012-06-01,1.691,
2012-05-01,1.829,
2012-04-01,1.774,
2012-03-01,1.798,
2012-02-01,1.939,
2012-01-01,1.874,
2011-12-01,1.836,
2011-11-01,1.871,
2011-10-01,1.947,
2011-09-01,1.711,
2011-08-01,1.647,
2011-07-01,1.683,
2011-06-01,1.692,
2011-05-01,1.727,
2011-04-01,1.732,
2011-03-01,1.708,
2011-02-01,1.806,
2011-01-01,1.793,
2010-12-01,1.675,
2010-11-01,1.456,
2010-10-01,1.753,
2010-09-01,1.519,
2010-08-01,1.441,
2010-07-01,1.494,
2010-06-01,1.523,
2010-05-01,1.779,
2010-04-01,1.822,
2010-03-01,1.872,
2010-02-01,1.789,
2010-01-01,1.772,
2009-12-01,1.705,
2009-11-01,1.595,
2009-10-01,1.627,
2009-09-01,1.632,
2009-08-01,1.495,
2009-07-01,1.529,
2009-06-01,1.501,
2009-05-01,1.774,
2009-04-01,1.693,
2009-03-01,1.795,
2009-02-01,1.85,
2009-01-01,1.834,
2008-12-01,1.838,
2008-11-01,1.858,
2008-10-01,1.978,
2008-09-01,1.854,
2008-08-01,2.011,
2008-07-01,1.92,
2008-06-01,1.93,
2008-05-01,2.069,
2008-04-01,2.203,
2008-03-01,2.168,
2008-02-01,2.175,
2008-01-01,2.099,
2007-12-01,1.862,
2007-11-01,1.771,
2007-10-01,1.825,
2007-09-01,1.634,
2007-08-01,1.502,
2007-07-01,1.373,
2007-06-01,1.504,
2007-05-01,1.616,
2007-04-01,1.634,
2007-03-01,1.746,
2007-02-01,1.549,
2007-01-01,1.543,
2006-12-01,1.354,
2006-11-01,1.257,
2006-10-01,1.254,
2006-09-01,1.244,
2006-08-01,1.213,
2006-07-01,1.242,
2006-06-01,1.206,
2006-05-01,1.283,
2006-04-01,1.302,
2006-03-01,1.328,
2006-02-01,1.449,
2006-01-01,1.35,
2005-12-01,1.279,
2005-11-01,1.264,
2005-10-01,1.279,
2005-09-01,1.166,
2005-08-01,1.165,
2005-07-01,1.139,
2005-06-01,1.185,
